1460750106009_0061_01_000001@1_1@1460750106009_0061@1460750106009_0061_000001@17:20:46,376@0@object8@1@2048@NA@0
1460750106009_0061_01_000002@1_2@1460750106009_0061@1460750106009_0061_000001@17:20:53,384@17:21:14,484@object4@1@1024@ FINISHED@21.1
1460750106009_0061_01_000003@1_3@1460750106009_0061@1460750106009_0061_000001@17:20:54,385@17:21:14,321@object5@1@1024@ FINISHED@19.936
1460750106009_0061_01_000004@1_4@1460750106009_0061@1460750106009_0061_000001@17:20:55,386@17:21:16,041@object5@1@1024@ FINISHED@20.655
1460750106009_0061_01_000005@1_5@1460750106009_0061@1460750106009_0061_000001@17:20:56,387@17:21:15,040@object5@1@1024@ FINISHED@18.653
1460750106009_0061_01_000006@1_6@1460750106009_0061@1460750106009_0061_000001@17:20:57,388@17:21:14,703@object5@1@1024@ FINISHED@17.315
1460750106009_0061_01_000007@1_7@1460750106009_0061@1460750106009_0061_000001@17:21:03,276@17:21:14,297@object4@1@1024@ FINISHED@11.021
1460750106009_0061_01_000008@1_8@1460750106009_0061@1460750106009_0061_000001@17:21:03,276@17:21:15,485@object4@1@1024@ FINISHED@12.209
1460750106009_0061_01_000009@1_9@1460750106009_0061@1460750106009_0061_000001@17:21:03,563@17:21:32,925@object6@1@1024@ FINISHED@29.362
1460750106009_0061_01_000010@1_10@1460750106009_0061@1460750106009_0061_000001@17:21:04,564@17:21:35,031@object6@1@1024@ FINISHED@30.467
1460750106009_0061_01_000011@1_11@1460750106009_0061@1460750106009_0061_000001@17:21:05,565@17:21:34,487@object6@1@1024@ FINISHED@28.922
1460750106009_0061_01_000012@1_12@1460750106009_0061@1460750106009_0061_000001@17:21:06,567@17:21:34,488@object6@1@1024@ FINISHED@27.921
1460750106009_0061_01_000013@1_13@1460750106009_0061@1460750106009_0061_000001@17:21:07,568@17:21:33,318@object6@1@1024@ FINISHED@25.75
1460750106009_0061_01_000014@1_14@1460750106009_0061@1460750106009_0061_000001@17:21:08,580@17:21:34,813@object6@1@1024@ FINISHED@26.233
1460750106009_0061_01_000015@1_15@1460750106009_0061@1460750106009_0061_000001@17:21:09,595@17:21:35,333@object6@1@1024@ FINISHED@25.738
1460750106009_0061_01_000016@1_16@1460750106009_0061@1460750106009_0061_000001@17:21:10,607@17:21:36,334@object6@1@1024@ FINISHED@25.727
1460750106009_0061_01_000017@1_17@1460750106009_0061@1460750106009_0061_000001@17:21:12,405@17:21:22,036@object5@1@1024@ FINISHED@9.631
1460750106009_0061_01_000018@1_18@1460750106009_0061@1460750106009_0061_000001@17:21:13,407@17:21:21,792@object4@1@1024@ FINISHED@8.385
1460750106009_0061_01_000019@1_19@1460750106009_0061@1460750106009_0061_000001@17:21:14,321@17:21:23,451@object5@1@1024@ FINISHED@9.13
1460750106009_0061_01_000020@1_20@1460750106009_0061@1460750106009_0061_000001@17:21:15,040@17:21:24,452@object5@1@1024@ FINISHED@9.412
1460750106009_0061_01_000021@1_21@1460750106009_0061@1460750106009_0061_000001@17:21:16,041@0@object5@1@2048@NA@0
1460750106009_0061_01_000022@1_22@1460750106009_0061@1460750106009_0061_000001@17:21:16,409@0@object8@1@2048@NA@0
1460750106009_0061_01_000023@1_23@1460750106009_0061@1460750106009_0061_000001@17:21:16,411@0@object7@1@2048@NA@0
1460750106009_0061_01_000024@1_24@1460750106009_0061@1460750106009_0061_000001@17:21:16,414@0@object2@1@2048@NA@0
1460750106009_0061_01_000025@1_25@1460750106009_0061@1460750106009_0061_000001@17:21:16,419@0@object3@1@2048@NA@0
1460750106009_0061_01_000026@1_26@1460750106009_0061@1460750106009_0061_000001@17:21:16,486@0@object4@1@2048@NA@0
1460750106009_0061_01_000027@1_27@1460750106009_0061@1460750106009_0061_000001@17:21:16,561@0@object1@1@2048@NA@0
1460750106009_0061_01_000028@1_28@1460750106009_0061@1460750106009_0061_000001@17:21:17,042@0@object5@1@2048@NA@0
1460750106009_0061_01_000029@1_29@1460750106009_0061@1460750106009_0061_000001@17:21:17,410@0@object8@1@2048@NA@0
1460750106009_0061_01_000030@1_30@1460750106009_0061@1460750106009_0061_000001@17:21:17,412@0@object7@1@2048@NA@0
1460750106009_0061_01_000031@1_31@1460750106009_0061@1460750106009_0061_000001@17:21:17,415@0@object2@1@2048@NA@0
1460750106009_0061_01_000032@1_32@1460750106009_0061@1460750106009_0061_000001@17:21:17,420@0@object3@1@2048@NA@0
1460750106009_0061_01_000033@1_33@1460750106009_0061@1460750106009_0061_000001@17:21:17,487@0@object4@1@2048@NA@0
1460750106009_0061_01_000034@1_34@1460750106009_0061@1460750106009_0061_000001@17:21:17,562@0@object1@1@2048@NA@0
1460750106009_0061_01_000036@1_36@1460750106009_0061@1460750106009_0061_000001@17:21:18,415@17:21:19,650@object8@1@2048@ RELEASED@1.235
1460750106009_0061_01_000037@1_37@1460750106009_0061@1460750106009_0061_000001@17:21:18,415@17:21:19,650@object7@1@2048@ RELEASED@1.235
1460750106009_0061_01_000038@1_38@1460750106009_0061@1460750106009_0061_000001@17:21:18,417@17:21:19,650@object2@1@2048@ RELEASED@1.233
1460750106009_0061_01_000039@1_39@1460750106009_0061@1460750106009_0061_000001@17:21:18,429@17:21:19,650@object3@1@2048@ RELEASED@1.221
1460750106009_0061_01_000040@1_40@1460750106009_0061@1460750106009_0061_000001@17:21:18,501@17:21:19,651@object4@1@2048@ RELEASED@1.15
1460750106009_0061_01_000041@1_41@1460750106009_0061@1460750106009_0061_000001@17:21:18,564@17:21:19,651@object1@1@2048@ RELEASED@1.087
1460750106009_0061_01_000042@1_42@1460750106009_0061@1460750106009_0061_000001@17:21:19,419@17:21:33,353@object7@1@1024@ FINISHED@13.934
1460750106009_0061_01_000043@1_43@1460750106009_0061@1460750106009_0061_000001@17:21:20,428@17:21:30,595@object7@1@1024@ FINISHED@10.167
1460750106009_0061_01_000044@1_44@1460750106009_0061@1460750106009_0061_000001@17:21:21,430@17:21:31,599@object7@1@1024@ FINISHED@10.169
1460750106009_0061_01_000045@1_45@1460750106009_0061@1460750106009_0061_000001@17:21:22,449@17:21:29,481@object3@1@1024@ FINISHED@7.032
1460750106009_0061_01_000046@1_46@1460750106009_0061@1460750106009_0061_000001@17:21:23,451@17:21:30,606@object5@1@1024@ FINISHED@7.155
1460750106009_0061_01_000047@1_47@1460750106009_0061@1460750106009_0061_000001@17:21:24,591@17:21:30,467@object1@1@1024@ FINISHED@5.876
1460750106009_0061_01_000048@1_48@1460750106009_0061@1460750106009_0061_000001@17:21:25,798@17:21:31,983@object4@1@1024@ FINISHED@6.185
1460750106009_0061_01_000049@1_49@1460750106009_0061@1460750106009_0061_000001@17:21:27,436@17:21:32,263@object8@1@1024@ FINISHED@4.827
1460750106009_0061_01_000050@1_50@1460750106009_0061@1460750106009_0061_000001@17:21:28,437@17:21:35,049@object2@1@1024@ FINISHED@6.612
1460750106009_0061_01_000051@1_51@1460750106009_0061@1460750106009_0061_000001@17:21:29,439@17:21:36,501@object2@1@1024@ FINISHED@7.062
1460750106009_0061_01_000052@1_52@1460750106009_0061@1460750106009_0061_000001@17:21:30,439@17:21:37,502@object2@1@1024@ FINISHED@7.063
1460750106009_0061_01_000053@1_53@1460750106009_0061@1460750106009_0061_000001@17:21:31,441@17:21:41,447@object2@1@1024@ FINISHED@10.006
1460750106009_0061_01_000054@1_54@1460750106009_0061@1460750106009_0061_000001@17:21:32,483@17:21:37,640@object3@1@1024@ FINISHED@5.157
1460750106009_0061_01_000055@1_55@1460750106009_0061@1460750106009_0061_000001@17:21:33,470@17:21:41,426@object1@1@1024@ FINISHED@7.956
1460750106009_0061_01_000056@1_56@1460750106009_0061@1460750106009_0061_000001@17:21:34,485@17:21:42,510@object3@1@1024@ FINISHED@8.025
1460750106009_0061_01_000057@1_57@1460750106009_0061@1460750106009_0061_000001@17:21:35,049@17:21:40,445@object2@1@1024@ FINISHED@5.396
1460750106009_0061_01_000058@1_58@1460750106009_0061@1460750106009_0061_000001@17:21:35,268@17:21:42,492@object8@1@1024@ FINISHED@7.224
1460750106009_0061_01_000059@1_59@1460750106009_0061@1460750106009_0061_000001@17:21:36,268@17:21:41,491@object8@1@1024@ FINISHED@5.223
1460750106009_0061_01_000060@1_60@1460750106009_0061@1460750106009_0061_000001@17:21:36,334@17:21:42,448@object6@1@1024@ FINISHED@6.114
1460750106009_0061_01_000061@1_61@1460750106009_0061@1460750106009_0061_000001@17:21:36,988@17:21:55,405@object4@1@1024@ FINISHED@18.417
1460750106009_0061_01_000062@1_62@1460750106009_0061@1460750106009_0061_000001@17:21:37,335@17:21:59,258@object6@1@1024@ FINISHED@21.923
1460750106009_0061_01_000063@1_63@1460750106009_0061@1460750106009_0061_000001@17:21:37,990@17:21:55,405@object4@1@1024@ FINISHED@17.415
1460750106009_0061_01_000064@1_64@1460750106009_0061@1460750106009_0061_000001@17:21:38,336@17:22:00,650@object6@1@1024@ FINISHED@22.314
1460750106009_0061_01_000065@1_65@1460750106009_0061@1460750106009_0061_000001@17:21:38,358@17:21:56,764@object7@1@1024@ FINISHED@18.406
1460750106009_0061_01_000066@1_66@1460750106009_0061@1460750106009_0061_000001@17:21:39,337@17:22:03,092@object6@1@1024@ FINISHED@23.755
1460750106009_0061_01_000067@1_67@1460750106009_0061@1460750106009_0061_000001@17:21:39,360@17:21:56,764@object7@1@1024@ FINISHED@17.404
1460750106009_0061_01_000068@1_68@1460750106009_0061@1460750106009_0061_000001@17:21:39,478@17:21:59,807@object1@1@1024@ FINISHED@20.329
1460750106009_0061_01_000069@1_69@1460750106009_0061@1460750106009_0061_000001@17:21:40,342@17:22:02,026@object6@1@1024@ FINISHED@21.684
1460750106009_0061_01_000070@1_70@1460750106009_0061@1460750106009_0061_000001@17:21:40,365@17:21:59,455@object7@1@1024@ FINISHED@19.09
1460750106009_0061_01_000071@1_71@1460750106009_0061@1460750106009_0061_000001@17:21:40,376@17:21:56,738@object2@1@1024@ FINISHED@16.362
1460750106009_0061_01_000072@1_72@1460750106009_0061@1460750106009_0061_000001@17:21:40,425@17:21:56,802@object1@1@1024@ FINISHED@16.377
1460750106009_0061_01_000073@1_73@1460750106009_0061@1460750106009_0061_000001@17:21:40,993@17:21:57,129@object4@1@1024@ FINISHED@16.136
1460750106009_0061_01_000074@1_74@1460750106009_0061@1460750106009_0061_000001@17:21:41,343@17:22:03,091@object6@1@1024@ FINISHED@21.748
1460750106009_0061_01_000075@1_75@1460750106009_0061@1460750106009_0061_000001@17:21:41,369@17:22:00,892@object7@1@1024@ FINISHED@19.523
1460750106009_0061_01_000076@1_76@1460750106009_0061@1460750106009_0061_000001@17:21:41,426@17:21:57,802@object1@1@1024@ FINISHED@16.376
1460750106009_0061_01_000077@1_77@1460750106009_0061@1460750106009_0061_000001@17:21:41,446@17:22:03,092@object6@1@1024@ FINISHED@21.646
1460750106009_0061_01_000078@1_78@1460750106009_0061@1460750106009_0061_000001@17:21:41,506@17:21:55,568@object3@1@1024@ FINISHED@14.062
1460750106009_0061_01_000079@1_79@1460750106009_0061@1460750106009_0061_000001@17:21:41,790@17:21:57,561@object5@1@1024@ FINISHED@15.771
1460750106009_0061_01_000080@1_80@1460750106009_0061@1460750106009_0061_000001@17:21:41,997@17:21:59,751@object4@1@1024@ FINISHED@17.754
1460750106009_0061_01_000081@1_81@1460750106009_0061@1460750106009_0061_000001@17:21:42,428@17:21:58,805@object1@1@1024@ FINISHED@16.377
1460750106009_0061_01_000082@1_82@1460750106009_0061@1460750106009_0061_000001@17:21:42,447@17:22:00,108@object2@1@1024@ FINISHED@17.661
1460750106009_0061_01_000083@1_83@1460750106009_0061@1460750106009_0061_000001@17:21:42,448@17:22:03,092@object6@1@1024@ FINISHED@20.644
1460750106009_0061_01_000084@1_84@1460750106009_0061@1460750106009_0061_000001@17:21:42,511@17:21:57,339@object3@1@1024@ FINISHED@14.828
1460750106009_0061_01_000085@1_85@1460750106009_0061@1460750106009_0061_000001@17:21:42,792@17:21:59,457@object5@1@1024@ FINISHED@16.665
1460750106009_0061_01_000086@1_86@1460750106009_0061@1460750106009_0061_000001@17:21:43,448@17:21:57,764@object2@1@1024@ FINISHED@14.316
1460750106009_0061_01_000087@1_87@1460750106009_0061@1460750106009_0061_000001@17:21:43,449@17:21:44,817@object6@1@1024@ RELEASED@1.368
1460750106009_0061_01_000088@1_88@1460750106009_0061@1460750106009_0061_000001@17:21:43,512@17:21:44,817@object3@1@1024@ RELEASED@1.305
1460750106009_0061_01_000089@1_89@1460750106009_0061@1460750106009_0061_000001@17:21:43,512@17:21:44,818@object8@1@1024@ RELEASED@1.306
1460750106009_0061_01_000090@1_90@1460750106009_0061@1460750106009_0061_000001@17:21:43,793@17:21:44,818@object5@1@1024@ RELEASED@1.025
1460750106009_0061_01_000091@1_91@1460750106009_0061@1460750106009_0061_000001@17:21:43,793@17:21:44,818@object5@1@1024@ RELEASED@1.025
1460750106009_0061_01_000092@1_92@1460750106009_0061@1460750106009_0061_000001@17:21:44,450@17:21:45,821@object2@1@1024@ RELEASED@1.371
1460750106009_0061_01_000093@1_93@1460750106009_0061@1460750106009_0061_000001@17:21:49,455@17:21:55,409@object2@1@1024@ FINISHED@5.954
